occurrenceID,institutionCode,collectionID,collectionCode,catalogNumber,kingdom,phylum,class,order,family,genus,subgenus,specificEpithet,infraspecificEpithet,scientificName,scientificNameAuthorship,taxonRank,dateIdentified,identifiedBy,typeStatus,continent,country,stateProvince,locality,decimalLatitude,decimalLongitude,coordinatePrecision,verbatimElevation,basisOfRecord,eventDate,year,month,day,habitat,fieldNumber,recordedBy,taxonRemarks
1154,ALTB,,,,,,,,Brassicaceae,Sisymbrium,,irio,,Sisymbrium irio,,species,01/01/2024,D.A.German,,Asia,Kyrgyzstan,,Karavan Village,40.294089,72.187364,4,1080,HerbariumSpecimen,6/29/2024,2024,6,29,roadside,,German D.A.,
1155,FRU,,,,,,,,Asteraceae,Amberboa,,bucharica,,Amberboa bucharica,,species,01/01/2019,G.A.Lazkov,,Asia,Kyrgyzstan,,"Suusamyr Range (S side), Zagyra Mts., pass along the road to Torkent",41.866,73.221,500,1000,HerbariumSpecimen,6/1/2018,2018,6,1,versicolour denudations,,G.A.Lazkov,
1156,FRU,,,,,,,,Brassicaceae,Asperuginoides,,axillaris,,Asperuginoides axillaris,,species,01/01/2019,G.A.Lazkov,,Asia,Kyrgyzstan,,Ak-Tash Mts.,42.7,71.51,300,,HerbariumSpecimen,,,,,,,G.A.Lazkov,
1157,LE,,,,,,,,Brassicaceae,Asperuginoides,,axillaris,,Asperuginoides axillaris,,species,01/01/2019,G.A.Lazkov,,Asia,Kyrgyzstan,,Ak-Tash Mts.,42.7,71.51,300,,HerbariumSpecimen,,,,,,,G.A.Lazkov,
1158,FRU,,,,,,,,Brassicaceae,Asperuginoides,,axillaris,,Asperuginoides axillaris,,species,01/01/2019,G.A.Lazkov,,Asia,Kyrgyzstan,,Fergana Range: 5 km upstream the Bekechal River,41.528,72.535,300,,HerbariumSpecimen,4/19/1990,1990,4,19,,,"G.Lazkov, S.Sheremetova",
1159,LE,,,,,,,,Brassicaceae,Asperuginoides,,axillaris,,Asperuginoides axillaris,,species,01/01/2019,G.A.Lazkov,,Asia,Kyrgyzstan,,Fergana Range: 5 km upstream the Bekechal River,41.528,72.535,300,,HerbariumSpecimen,4/19/1990,1990,4,19,,,"G.Lazkov, S.Sheremetova",
1160,FRU,,,,,,,,Brassicaceae,Asperuginoides,,axillaris,,Asperuginoides axillaris,,species,01/01/2019,G.A.Lazkov,,Asia,Kyrgyzstan,,near Kök-Alma Village,41.29,73.06,500,,HerbariumSpecimen,4/20/2018,2018,4,20,,,G.A.Lazkov,
1161,FRU,,,,,,,,Brassicaceae,Asperuginoides,,axillaris,,Asperuginoides axillaris,,species,01/01/2019,G.A.Lazkov,,Asia,Kyrgyzstan,,Alay Range: 7 km S of Uch-Korgon,40.170833,72.108333,20,,HerbariumSpecimen,4/26/2017,2017,4,26,,,G.A.Lazkov,
1162,FRU,,,,,,,,Geraniaceae,Erodium,,ciconium,,Erodium ciconium,,species,01/01/2019,G.A.Lazkov,,Asia,Kyrgyzstan,,Talas Ala-Too: between the confluence of Kara-Kulja and Uzun-Akhmat rivers and Ak-Tektir Village,41.949936,72.540184,20,1090,HerbariumSpecimen,5/12/2016,2016,5,12,,,G.A.Lazkov,
1163,FRU,,,,,,,,Plumbaginaceae,Acantholimon,,tataricum,,Acantholimon tataricum,,species,01/01/2019,G.A.Lazkov,,Asia,Kyrgyzstan,,Chatkal Range (N side): Ayu-Chachy Ravine,41.871944,71.385,20,2370,HerbariumSpecimen,8/29/2023,2023,8,29,,,G.A.Lazkov,
1164,FRU,,,,,,,,Asteraceae,Shangwua,,masarica,masarica,Shangwua masarica,(Lipsky) Yu J.Wang & Raab-Straube,species,01/01/2018,G.A.Lazkov,,Asia,Kyrgyzstan,"Osh Region, Chon-Alay District",Ylai-Suu,39.453,72.526,,3250,HerbariumSpecimen,7/6/2007,2007,7,6,,,A.Akimaliev,
1165,FRU,,,,,,,,Asteraceae,Shangwua,,masarica,masarica,Shangwua masarica,(Lipsky) Yu J.Wang & Raab-Straube,species,7/9/2023,G.A.Lazkov,,Asia,Kyrgyzstan,"Batken Region, Batken District",Yangi-Daban,39.66547,71.30106,,2618,HerbariumSpecimen,7/9/2023,2023,7,9,,,"G.Lazkov, U.Neveraev",
1166,FRU,,,,,,,,Asteraceae,Shangwua,,masarica,masarica,Shangwua masarica,(Lipsky) Yu J.Wang & Raab-Straube,species,11/07/2024,G.A.Lazkov,,Asia,Kyrgyzstan,,Kök-Suu River,39.610165,71.978004,,2700,HerbariumSpecimen,11/07/2024,2024,7,11,,,G.Lazkov,
